PassengerId,Survived
1,0
2,0
3,0
4,0
6,0
13,0
15,0
17,0
18,0
23,0
31,0
35,0
41,1
48,0
50,1
52,1
55,0
66,0
68,0
72,0
76,0
81,0
84,1
85,0
86,1
88,0
93,1
95,0
97,0
99,0
100,0
103,0
107,0
110,0
115,1
117,0
122,0
124,0
126,0
127,0
130,0
135,1
137,0
145,1
147,1
149,0
150,0
151,0
154,1
156,0
159,1
160,0
165,0
167,1
169,0
170,0
172,0
176,0
180,0
183,1
186,0
187,0
188,0
191,0
193,1
194,1
198,0
213,0
214,0
215,1
222,0
223,0
224,0
229,1
232,1
235,1
238,0
244,1
255,0
256,0
262,0
263,1
266,0
274,0
276,0
287,0
288,0
290,0
296,0
301,0
305,0
310,0
311,1
321,0
322,0
325,0
328,1
329,0
336,0
338,0
339,1
340,0
341,0
349,0
352,0
356,0
357,0
358,0
359,0
363,0
365,0
372,0
373,1
379,0
384,1
385,0
389,0
390,1
394,1
396,1
404,1
407,0
408,1
409,0
410,0
414,0
417,0
420,0
421,0
422,0
426,0
432,0
433,0
437,0
447,0
451,0
455,0
457,0
462,0
466,0
471,0
473,1
475,1
476,0
477,0
483,0
485,1
486,0
487,0
488,0
490,1
492,0
493,0
495,0
506,0
508,0
512,1
514,0
519,1
522,0
524,0
529,0
530,1
531,0
532,0
533,0
535,1
537,0
539,1
541,0
566,0
569,0
586,0
587,0
591,0
599,1
600,1
603,0
605,1
608,1
610,0
611,1
612,1
616,0
617,1
618,0
619,1
622,0
628,0
629,0
633,0
635,0
638,0
641,0
643,0
644,0
647,1
649,0
650,0
655,0
656,0
658,0
661,1
668,1
669,0
671,0
679,0
680,0
684,1
689,0
698,0
701,0
703,0
704,1
706,0
709,1
715,0
716,1
719,1
724,0
725,1
728,0
730,1
732,0
735,1
737,0
740,0
747,0
749,0
750,0
753,0
756,1
759,0
763,0
765,1
770,0
774,1
775,0
777,1
780,1
796,1
797,1
798,1
799,0
803,0
804,1
807,1
809,0
811,1
813,0
815,1
820,0
823,1
826,0
830,0
831,0
832,0
833,0
838,1
839,0
842,0
847,0
851,1
852,1
856,0
859,0
866,0
867,0
868,0
873,0
874,1
877,0
878,1
880,0
883,0
887,1
892,0
896,0
897,0
898,0
899,0
900,0
901,0
903,0
906,1
919,0
921,0
924,1
931,0
932,0
935,0
942,0
944,0
947,1
952,0
953,0
954,1
955,0
959,0
962,0
972,0
973,1
974,0
979,0
980,0
983,1
985,1
986,0
990,1
993,0
997,0
1002,0
1004,0
1007,0
1015,1
1019,0
1021,1
1022,0
1027,0
1028,0
1032,0
1034,0
1036,0
1038,0
1042,1
1045,0
1047,1
1048,1
1053,0
1056,0
1060,1
1062,0
1063,0
1064,0
1071,0
1072,0
1075,0
1077,0
1079,0
1089,0
1093,0
1100,0
1101,0
1102,1
1109,0
1110,0
1111,0
1113,0
1115,0
1116,1
1122,1
1123,0
1136,0
1137,0
1139,1
1143,1
1148,1
1150,0
1151,0
1154,0
1157,0
1161,1
1162,1
1166,0
1167,1
1170,0
1175,0
1178,0
1179,1
1182,0
1183,0
1188,1
1191,1
1193,0
1198,1
1199,1
1205,0
1207,0
1211,1
1216,0
1221,0
1223,0
1224,0
1226,0
1229,0
1230,1
1231,0
1236,0
1238,0
1242,0
1244,1
1246,1
1247,0
1251,0
1252,0
1255,1
1263,0
1266,1
1270,0
1271,0
1272,1
1273,0
1279,1
1280,0
1281,1
1282,1
1286,0
1287,1
1294,0
1296,1
1297,0
1299,1
1300,0
1302,0
1304,1
1305,0
1307,0
1308,0
