PassengerId,Survived
1,0
2,1
3,0
4,0
6,1
13,0
15,1
17,1
18,1
23,0
31,0
35,0
41,1
48,1
50,1
52,1
55,0
66,1
68,1
72,1
76,1
81,0
84,1
85,1
86,1
88,0
93,1
95,1
97,0
99,1
100,1
103,1
107,1
110,1
115,1
117,1
122,1
124,1
126,0
127,0
130,1
135,0
137,0
145,1
147,1
149,0
150,1
151,0
154,1
156,1
159,1
160,1
165,1
167,1
169,1
170,0
172,0
176,0
180,0
183,1
186,0
187,0
188,0
191,1
193,1
194,1
198,1
213,0
214,1
215,1
222,1
223,0
224,1
229,1
232,1
235,1
238,0
244,1
255,0
256,1
262,1
263,1
266,0
274,0
276,0
287,1
288,1
290,1
296,1
301,1
305,1
310,0
311,1
321,0
322,1
325,0
328,1
329,0
336,1
338,0
339,1
340,1
341,0
349,0
352,1
356,0
357,0
358,0
359,0
363,0
365,1
372,1
373,1
379,1
384,1
385,1
389,1
390,1
394,1
396,1
404,1
407,0
408,1
409,0
410,0
414,1
417,0
420,1
421,0
422,0
426,0
432,1
433,1
437,1
447,0
451,0
455,1
457,0
462,1
466,0
471,1
473,1
475,1
476,1
477,0
483,0
485,1
486,0
487,0
488,1
490,1
492,1
493,0
495,1
506,0
508,0
512,1
514,1
519,0
522,1
524,1
529,1
530,1
531,0
532,0
533,1
535,1
537,0
539,1
541,1
566,0
569,1
586,0
587,1
591,0
599,1
600,1
603,1
605,1
608,1
610,0
611,1
612,1
616,0
617,1
618,1
619,1
622,0
628,1
629,0
633,1
635,0
638,0
641,0
643,1
644,0
647,1
649,1
650,0
655,1
656,1
658,0
661,1
668,1
669,0
671,1
679,1
680,0
684,1
689,0
698,0
701,0
703,1
704,1
706,0
709,0
715,1
716,1
719,1
724,0
725,1
728,0
730,1
732,0
735,1
737,1
740,0
747,1
749,0
750,0
753,1
756,1
759,0
763,0
765,1
770,0
774,1
775,1
777,1
780,1
796,1
797,1
798,1
799,0
803,0
804,0
807,1
809,1
811,1
813,1
815,1
820,0
823,1
826,0
830,0
831,0
832,0
833,0
838,1
839,0
842,0
847,0
851,1
852,1
856,1
859,0
866,0
867,0
868,1
873,0
874,1
877,0
878,1
880,1
883,1
887,1
892,0
896,1
897,1
898,0
899,1
900,0
901,1
903,1
906,1
919,0
921,0
924,1
931,1
932,0
935,0
942,1
944,1
947,1
952,0
953,0
954,1
955,1
959,0
962,0
972,0
973,1
974,1
979,0
980,1
983,1
985,1
986,0
990,1
993,1
997,0
1002,1
1004,0
1007,1
1015,1
1019,1
1021,1
1022,0
1027,0
1028,1
1032,0
1034,1
1036,1
1038,0
1042,1
1045,0
1047,1
1048,1
1053,1
1056,1
1060,1
1062,1
1063,1
1064,1
1071,0
1072,1
1075,0
1077,1
1079,1
1089,1
1093,0
1100,0
1101,0
1102,1
1109,0
1110,1
1111,0
1113,1
1115,1
1116,1
1122,1
1123,0
1136,1
1137,1
1139,1
1143,0
1148,1
1150,0
1151,0
1154,1
1157,0
1161,1
1162,1
1166,0
1167,1
1170,1
1175,1
1178,1
1179,1
1182,1
1183,0
1188,1
1191,0
1193,0
1198,1
1199,1
1205,1
1207,0
1211,1
1216,0
1221,0
1223,0
1224,1
1226,1
1229,0
1230,1
1231,0
1236,0
1238,0
1242,0
1244,1
1246,1
1247,0
1251,0
1252,0
1255,1
1263,0
1266,1
1270,0
1271,0
1272,1
1273,1
1279,1
1280,0
1281,1
1282,1
1286,0
1287,1
1294,1
1296,1
1297,1
1299,1
1300,1
1302,0
1304,1
1305,0
1307,0
1308,1
