PassengerId,Survived
1,1
2,1
3,1
4,1
6,1
13,1
15,0
17,0
18,1
23,1
31,0
35,1
41,0
48,1
50,1
52,0
55,1
66,1
68,1
72,1
76,0
81,0
84,1
85,1
86,1
88,1
93,1
95,1
97,1
99,1
100,1
103,1
107,0
110,1
115,0
117,1
122,1
124,1
126,0
127,1
130,1
135,1
137,0
145,1
147,1
149,1
150,1
151,0
154,1
156,1
159,0
160,1
165,1
167,0
169,1
170,1
172,0
176,1
180,0
183,1
186,1
187,1
188,1
191,1
193,1
194,1
198,1
213,1
214,1
215,1
222,0
223,0
224,0
229,1
232,1
235,0
238,0
244,0
255,0
256,1
262,1
263,1
266,1
274,1
276,1
287,1
288,0
290,1
296,1
301,0
305,1
310,1
311,0
321,0
322,0
325,1
328,0
329,0
336,0
338,1
339,0
340,1
341,1
349,0
352,0
356,1
357,0
358,0
359,1
363,1
365,0
372,1
373,0
379,0
384,0
385,0
389,1
390,0
394,0
396,1
404,0
407,0
408,1
409,0
410,0
414,0
417,0
420,0
421,0
422,0
426,0
432,0
433,0
437,1
447,1
451,0
455,0
457,1
462,0
466,1
471,0
473,0
475,0
476,1
477,0
483,1
485,1
486,0
487,0
488,0
490,1
492,0
493,1
495,1
506,0
508,0
512,0
514,1
519,0
522,1
524,0
529,0
530,1
531,0
532,0
533,0
535,1
537,1
539,0
541,1
566,0
569,0
586,0
587,1
591,1
599,1
600,1
603,0
605,0
608,1
610,0
611,0
612,0
616,0
617,0
618,0
619,0
622,0
628,0
629,0
633,0
635,0
638,0
641,0
643,0
644,0
647,0
649,0
650,0
655,0
656,0
658,1
661,1
668,1
669,0
671,0
679,1
680,1
684,0
689,0
698,0
701,0
703,1
704,0
706,0
709,0
715,0
716,0
719,0
724,0
725,0
728,0
730,0
732,0
735,1
737,0
740,0
747,0
749,0
750,1
753,0
756,0
759,0
763,1
765,0
770,0
774,0
775,0
777,0
780,1
796,0
797,0
798,0
799,0
803,0
804,0
807,0
809,0
811,0
813,0
815,0
820,1
823,0
826,0
830,0
831,0
832,0
833,0
838,0
839,0
842,1
847,0
851,0
852,1
856,0
859,0
866,1
867,1
868,1
873,0
874,0
877,0
878,0
880,0
883,0
887,1
892,0
896,1
897,0
898,0
899,0
900,1
901,0
903,0
906,0
919,0
921,0
924,1
931,0
932,0
935,1
942,0
944,0
947,0
952,0
953,0
954,0
955,0
959,0
962,1
972,0
973,0
974,0
979,0
980,0
983,0
985,1
986,0
990,0
993,1
997,0
1002,1
1004,0
1007,1
1015,0
1019,0
1021,0
1022,0
1027,1
1028,0
1032,0
1034,0
1036,0
1038,1
1042,0
1045,1
1047,0
1048,1
1053,0
1056,0
1060,0
1062,0
1063,0
1064,0
1071,0
1072,1
1075,0
1077,1
1079,1
1089,0
1093,0
1100,0
1101,0
1102,0
1109,0
1110,0
1111,0
1113,1
1115,0
1116,0
1122,0
1123,1
1136,0
1137,0
1139,0
1143,0
1148,0
1150,1
1151,0
1154,1
1157,1
1161,0
1162,0
1166,0
1167,0
1170,0
1175,0
1178,0
1179,0
1182,0
1183,0
1188,1
1191,0
1193,0
1198,0
1199,1
1205,0
1207,0
1211,0
1216,0
1221,0
1223,0
1224,0
1226,0
1229,0
1230,0
1231,1
1236,0
1238,0
1242,0
1244,0
1246,0
1247,0
1251,0
1252,0
1255,0
1263,0
1266,0
1270,0
1271,0
1272,0
1273,0
1279,0
1280,0
1281,0
1282,0
1286,0
1287,1
1294,0
1296,0
1297,0
1299,0
1300,0
1302,0
1304,0
1305,1
1307,0
1308,0
